Eclipse timings	&	Error	&	E	&	O-C	&	Reference
2458943.92906 	&	0.00011 	&	627.5	&	-0.00035754 	&	(12)
2458944.09406 	&	0.00011 	&	628	&	0.00123986 	&	(12)
2458944.25596 	&	0.00013 	&	628.5	&	-0.00026273 	&	(12)
2458944.42084 	&	0.00011 	&	629	&	0.00121467 	&	(12)
2458944.58265 	&	0.00013 	&	629.5	&	-0.00037792 	&	(12)
2458944.74792 	&	0.00011 	&	630	&	0.00148948 	&	(12)
2458944.90948 	&	0.00010 	&	630.5	&	-0.00035311 	&	(12)
2458945.07458 	&	0.00010 	&	631	&	0.00134429 	&	(12)
2458945.23623 	&	0.00012 	&	631.5	&	-0.00040831 	&	(12)
2458945.40125 	&	0.00012 	&	632	&	0.00120910 	&	(12)
2458945.40154 	&	0.00062 	&	632	&	0.00149810 	&	(13)
2458945.40232 	&	0.00035 	&	632	&	0.00227810 	&	(13)
2458945.40309 	&	0.00041 	&	632	&	0.00304810 	&	(13)
2458945.40333 	&	0.00036 	&	632	&	0.00328810 	&	(13)
2458945.56289 	&	0.00038 	&	632.5	&	-0.00055450 	&	(13)
2458945.56331 	&	0.00013 	&	632.5	&	-0.00013350 	&	(12)
2458945.72783 	&	0.00010 	&	633	&	0.00098391 	&	(12)
2458945.88982 	&	0.00011 	&	633.5	&	-0.00042869 	&	(12)
2458946.05503 	&	0.00009 	&	634	&	0.00137872 	&	(12)
2458946.21654 	&	0.00012 	&	634.5	&	-0.00051388 	&	(12)
2458946.38178 	&	0.00010 	&	635	&	0.00132352 	&	(12)
2458946.54339 	&	0.00010 	&	635.5	&	-0.00046907 	&	(12)
2458946.70856 	&	0.00011 	&	636	&	0.00129833 	&	(12)
2458946.87005 	&	0.00011 	&	636.5	&	-0.00061426 	&	(12)
2458947.03538 	&	0.00011 	&	637	&	0.00131314 	&	(12)
2458947.19696 	&	0.00011 	&	637.5	&	-0.00050945 	&	(12)
2458947.36218 	&	0.00011 	&	638	&	0.00130795 	&	(12)
2458947.52383 	&	0.00013 	&	638.5	&	-0.00044465 	&	(12)
2458947.68887 	&	0.00012 	&	639	&	0.00119276 	&	(12)
2458947.85077 	&	0.00013 	&	639.5	&	-0.00030984 	&	(12)
2458948.01564 	&	0.00009 	&	640	&	0.00115757 	&	(12)
2458948.17709 	&	0.00013 	&	640.5	&	-0.00079503 	&	(12)
2458948.34273 	&	0.00012 	&	641	&	0.00144238 	&	(12)
2458948.50408 	&	0.00011 	&	641.5	&	-0.00061022 	&	(12)
2458948.66945 	&	0.00010 	&	642	&	0.00135719 	&	(12)
2458948.83067 	&	0.00012 	&	642.5	&	-0.00082541 	&	(12)
2458948.99617 	&	0.00009 	&	643	&	0.00127199 	&	(12)
2458949.15751 	&	0.00013 	&	643.5	&	-0.00079060 	&	(12)
2458949.32279 	&	0.00011 	&	644	&	0.00108680 	&	(12)
2458949.48445 	&	0.00009 	&	644.5	&	-0.00065579 	&	(12)
2458949.65002 	&	0.00010 	&	645	&	0.00151161 	&	(12)
2458949.81126 	&	0.00011 	&	645.5	&	-0.00065098 	&	(12)
2458949.97661 	&	0.00007 	&	646	&	0.00129642 	&	(12)
2458950.13789 	&	0.00010 	&	646.5	&	-0.00082618 	&	(12)
2458950.30338 	&	0.00011 	&	647	&	0.00126123 	&	(12)
2458950.46501 	&	0.00013 	&	647.5	&	-0.00051137 	&	(12)
2458950.63007 	&	0.00010 	&	648	&	0.00114604 	&	(12)
2458950.79162 	&	0.00008 	&	648.5	&	-0.00070656 	&	(12)
2458950.95705 	&	0.00011 	&	649	&	0.00132085 	&	(12)
2458951.11837 	&	0.00012 	&	649.5	&	-0.00076175 	&	(12)
2458951.28360 	&	0.00011 	&	650	&	0.00106566 	&	(12)
2458951.44553 	&	0.00009 	&	650.5	&	-0.00040694 	&	(12)
2458951.61065 	&	0.00010 	&	651	&	0.00131046 	&	(12)
2458951.77192 	&	0.00011 	&	651.5	&	-0.00082213 	&	(12)
2458951.93733 	&	0.00010 	&	652	&	0.00118527 	&	(12)
2458952.09887 	&	0.00011 	&	652.5	&	-0.00067732 	&	(12)
2458952.26400 	&	0.00010 	&	653	&	0.00105008 	&	(12)
2458952.42592 	&	0.00011 	&	653.5	&	-0.00043251 	&	(12)
2458952.59076 	&	0.00009 	&	654	&	0.00100489 	&	(12)
2458952.75276 	&	0.00012 	&	654.5	&	-0.00039771 	&	(12)
2458952.91773 	&	0.00010 	&	655	&	0.00116970 	&	(12)
2458953.07993 	&	0.00011 	&	655.5	&	-0.00003290 	&	(12)
2458953.24448 	&	0.00010 	&	656	&	0.00111451 	&	(12)
2458953.40627 	&	0.00010 	&	656.5	&	-0.00049809 	&	(12)
2458953.57133 	&	0.00010 	&	657	&	0.00115932 	&	(12)
2458953.73298 	&	0.00011 	&	657.5	&	-0.00059328 	&	(12)
2458953.89819 	&	0.00012 	&	658	&	0.00121412 	&	(12)
2458954.05997 	&	0.00010 	&	658.5	&	-0.00040847 	&	(12)
2458954.22462 	&	0.00010 	&	659	&	0.00083893 	&	(12)
2458954.38656 	&	0.00013 	&	659.5	&	-0.00062366 	&	(12)
2458954.38706 	&	0.00009 	&	659.5	&	-0.00012366 	&	(13)
2458954.55164 	&	0.00008 	&	660	&	0.00105374 	&	(12)
2458954.55277 	&	0.00008 	&	660	&	0.00218174 	&	(13)
2458954.71345 	&	0.00011 	&	660.5	&	-0.00053885 	&	(12)
2458955.85865 	&	0.00011 	&	664	&	0.00084298 	&	(12)
2458956.02092 	&	0.00011 	&	664.5	&	-0.00028962 	&	(12)
2458956.18559 	&	0.00011 	&	665	&	0.00097779 	&	(12)
2458956.34766 	&	0.00010 	&	665.5	&	-0.00035481 	&	(12)
2458956.51218 	&	0.00012 	&	666	&	0.00076259 	&	(12)
2458956.67456 	&	0.00012 	&	666.5	&	-0.00026000 	&	(12)
2458956.83917 	&	0.00012 	&	667	&	0.00094740 	&	(12)
2458957.00143 	&	0.00009 	&	667.5	&	-0.00019519 	&	(12)
2458957.16579 	&	0.00014 	&	668	&	0.00076221 	&	(12)
2458957.32802 	&	0.00011 	&	668.5	&	-0.00041038 	&	(12)
2458957.49257 	&	0.00011 	&	669	&	0.00073702 	&	(12)
2458957.65515 	&	0.00010 	&	669.5	&	-0.00008558 	&	(12)
2458957.81939 	&	0.00014 	&	670	&	0.00075183 	&	(12)
2458957.98169 	&	0.00012 	&	670.5	&	-0.00035077 	&	(12)
2458958.14620 	&	0.00012 	&	671	&	0.00075664 	&	(12)
2458958.30857 	&	0.00011 	&	671.5	&	-0.00027596 	&	(12)
2458958.47272 	&	0.00009 	&	672	&	0.00047145 	&	(12)
2458958.63532 	&	0.00010 	&	672.5	&	-0.00033115 	&	(12)
2458958.79984 	&	0.00011 	&	673	&	0.00078626 	&	(12)
2458958.96230 	&	0.00012 	&	673.5	&	-0.00015634 	&	(12)
2458959.12652 	&	0.00010 	&	674	&	0.00066106 	&	(12)
2458959.28913 	&	0.00010 	&	674.5	&	-0.00013153 	&	(12)
2458959.45323 	&	0.00008 	&	675	&	0.00056587 	&	(12)
2458959.61597 	&	0.00012 	&	675.5	&	-0.00009672 	&	(12)
2458959.78007 	&	0.00008 	&	676	&	0.00060068 	&	(12)
2458959.94251 	&	0.00012 	&	676.5	&	-0.00036191 	&	(12)
2458960.10671 	&	0.00012 	&	677	&	0.00043549 	&	(12)
2458960.26960 	&	0.00012 	&	677.5	&	-0.00007711 	&	(12)
2458960.43374 	&	0.00011 	&	678	&	0.00066030 	&	(12)
2458960.59619 	&	0.00009 	&	678.5	&	-0.00029230 	&	(12)
2458960.76027 	&	0.00012 	&	679	&	0.00038511 	&	(12)
2458960.92309 	&	0.00013 	&	679.5	&	-0.00019749 	&	(12)
2458961.08715 	&	0.00013 	&	680	&	0.00045992 	&	(12)
2458961.24991 	&	0.00013 	&	680.5	&	-0.00018268 	&	(12)
2458961.41430 	&	0.00012 	&	681	&	0.00080472 	&	(12)
2458961.57674 	&	0.00012 	&	681.5	&	-0.00015787 	&	(12)
2458961.74097 	&	0.00011 	&	682	&	0.00066953 	&	(12)
2458961.90344 	&	0.00011 	&	682.5	&	-0.00026306 	&	(12)
2458962.06791 	&	0.00012 	&	683	&	0.00080434 	&	(12)
2458962.23041 	&	0.00011 	&	683.5	&	-0.00009825 	&	(12)
2458962.39468 	&	0.00012 	&	684	&	0.00076915 	&	(12)
2458962.55715 	&	0.00012 	&	684.5	&	-0.00016345 	&	(12)
2458962.72139 	&	0.00013 	&	685	&	0.00067396 	&	(12)
2458962.88365 	&	0.00011 	&	685.5	&	-0.00046864 	&	(12)
2458963.04820 	&	0.00010 	&	686	&	0.00067877 	&	(12)
2458963.21047 	&	0.00011 	&	686.5	&	-0.00045383 	&	(12)
2458963.37511 	&	0.00011 	&	687	&	0.00078358 	&	(12)
2458963.53734 	&	0.00015 	&	687.5	&	-0.00038902 	&	(12)
2458963.70210 	&	0.00010 	&	688	&	0.00096839 	&	(12)
2458963.86416 	&	0.00013 	&	688.5	&	-0.00037421 	&	(12)
2458963.86485 	&	0.00259 	&	688.5	&	0.00031079 	&	(11)
2458964.02832 	&	0.00222 	&	689	&	0.00038219 	&	(11)
2458964.02849 	&	0.00012 	&	689	&	0.00055319 	&	(12)
